term,estimate,std.error,statistic,p.value,conf.low,conf.high,k,n,covariates_used
assigned_SNF_clusterSNF_C2,1.183455296867554,0.08162480845299727,2.063568423324235,0.039058654081691235,1.0084925513055147,1.3887722203508668,2,1937,age+er_status
age_covariate,1.0405432338551812,0.0027508487185225862,14.447510965929562,2.599098148294583e-47,1.0349481745977667,1.0461685407026322,2,1937,age+er_status
er_covariatePositive,0.7210193726634935,0.09667557432742535,-3.383370361902976,7.160200235922979e-4,0.5965633043435135,0.8714396812055784,2,1937,age+er_status
assigned_SNF_clusterSNF_C2,0.8211030235957045,0.07452725657704296,-2.6447597960129707,0.00817489254124807,0.7095123111538191,0.9502445056402162,3,1937,age+er_status
assigned_SNF_clusterSNF_C3,1.0941988877958622,0.09969077472226204,0.9030172194339715,0.36651675608206175,0.8999934064479439,1.3303110861434433,3,1937,age+er_status
age_covariate,1.0393669717689245,0.002787895175067393,13.84982017462316,1.275309552132837e-43,1.0337031777147438,1.0450617984868134,3,1937,age+er_status
er_covariatePositive,0.7215449357642468,0.10582066080630205,-3.0840916999511983,0.002041746523649386,0.5863928592941359,0.8878469204992203,3,1937,age+er_status
