sample_id,assigned_cluster,best_correlation,second_best_correlation,confidence_gap,high_confidence
MB-0362,SNF_C1,0.2639079124332293,0.09653663936320267,0.16737127307002664,TRUE
MB-0346,SNF_C3,0.1529236115162504,0.07634665890635778,0.07657695260989261,TRUE
MB-0386,SNF_C2,0.1936111553840254,-0.02227616472210654,0.21588732010613193,TRUE
MB-0574,SNF_C1,0.30568734983431745,-0.022777750926274515,0.328465100760592,TRUE
MB-0185,SNF_C3,0.11505720548971779,0.039550360800889015,0.07550684468882878,TRUE
MB-0503,SNF_C2,0.1964953666440171,0.08721414009143132,0.10928122655258578,TRUE
MB-0641,SNF_C2,0.43396223139239615,0.017030720386370858,0.41693151100602527,TRUE
MB-0201,SNF_C3,0.18960542408027595,-0.00392947885653336,0.1935349029368093,TRUE
MB-0218,SNF_C1,0.31456596449938024,-0.09988006638906075,0.414446030888441,TRUE
MB-0316,SNF_C3,0.5425364277084379,-0.263389774098189,0.8059262018066269,TRUE
MB-0189,SNF_C2,0.3632116226004602,-0.01732656645299755,0.38053818905345776,TRUE
MB-0891,SNF_C2,0.4829691928889629,-0.10361409398458614,0.586583286873549,TRUE
MB-0658,SNF_C3,0.5223495074325819,-0.1815712521105762,0.7039207595431581,TRUE
MB-0899,SNF_C2,0.19773090869408133,0.03511081126629388,0.16262009742778744,TRUE
MB-0605,SNF_C2,0.34070424559421597,-0.019227977826260362,0.3599322234204763,TRUE
MB-0258,SNF_C1,0.18957850502638346,0.049077741488412756,0.1405007635379707,TRUE
MB-0506,SNF_C3,0.2068031652961288,-0.06375311514474842,0.2705562804408772,TRUE
MB-0420,SNF_C3,0.4453792940652822,-0.19893693832337922,0.6443162323886614,TRUE
MB-0223,SNF_C1,0.15405422849634454,0.015937546193740874,0.13811668230260365,TRUE
MB-0445,SNF_C1,0.2606844835497744,0.005618615947550274,0.25506586760222416,TRUE
MB-0199,SNF_C2,0.2149927574277728,0.133140589326694,0.08185216810107879,TRUE
MB-0517,SNF_C1,0.2593785902468527,0.14561720820400645,0.11376138204284628,TRUE
MB-0155,SNF_C2,0.5197678753811895,-0.04512003080535565,0.5648879061865452,TRUE
MB-0428,SNF_C3,0.011615263381540205,0.0011317032608969347,0.010483560120643269,FALSE
MB-0117,SNF_C2,0.2396020254276698,-0.04317015298652924,0.28277217841419905,TRUE
MB-0906,SNF_C3,0.32021579296327946,-0.013809489840868062,0.3340252828041475,TRUE
MB-0249,SNF_C3,0.24286380764017768,-0.1313083894891152,0.37417219712929284,TRUE
MB-0660,SNF_C3,0.12026614301569928,-0.056948587841653325,0.17721473085735262,TRUE
MB-0497,SNF_C2,0.11747537429613686,0.11387195883916919,0.0036034154569676707,FALSE
MB-0434,SNF_C1,0.19913094550452962,-0.0011352632502315595,0.20026620875476117,TRUE
MB-0143,SNF_C1,0.21107542048826256,-0.009890690476066069,0.2209661109643286,TRUE
MB-0513,SNF_C1,0.2426754129409904,-0.08200809311907457,0.32468350606006496,TRUE
MB-0541,SNF_C1,0.20331742573967196,-0.049361153035823974,0.25267857877549593,TRUE
MB-0653,SNF_C3,0.10313462543190086,0.07807963525539853,0.025054990176502326,TRUE
MB-0455,SNF_C3,0.1959012993426259,-0.044701789184903085,0.24060308852752899,TRUE
MB-0540,SNF_C3,0.24522485302833064,0.13122610904925266,0.11399874397907797,TRUE
MB-0384,SNF_C1,0.12530795712160175,0.01624425482707211,0.10906370229452965,TRUE
MB-0637,SNF_C3,0.08721698519048485,0.022013911523798724,0.06520307366668612,TRUE
MB-0157,SNF_C3,0.46243413684490753,-0.13752643890957558,0.5999605757544831,TRUE
MB-0443,SNF_C2,0.18541695624686705,-0.06183951409042799,0.24725647033729503,TRUE
MB-0584,SNF_C1,0.1380876538421533,-0.025131403580002418,0.1632190574221557,TRUE
MB-0292,SNF_C3,0.19373169342472568,-0.07440786862454174,0.2681395620492674,TRUE
MB-0322,SNF_C1,0.2867923136313245,-0.008100013853797983,0.2948923274851225,TRUE
MB-0501,SNF_C1,0.2978815610651669,-0.036326809004905786,0.33420837007007265,TRUE
MB-0401,SNF_C3,0.4109450911687041,-0.13383353401910875,0.5447786251878128,TRUE
MB-0140,SNF_C1,0.2675028576381693,0.014875776384464919,0.25262708125370437,TRUE
MB-0606,SNF_C1,0.2565422401363941,-0.06207303037939822,0.3186152705157923,TRUE
MB-0666,SNF_C1,0.08064010756524632,0.028754235111734,0.051885872453512324,TRUE
MB-0598,SNF_C3,0.04374779154840575,-0.014388800724802916,0.058136592273208665,TRUE
MB-0453,SNF_C3,0.08313124244888276,-0.0513685233002285,0.13449976574911127,TRUE
MB-0138,SNF_C2,0.37956040109206807,0.06298279435753153,0.31657760673453655,TRUE
MB-0579,SNF_C1,0.23850299377490347,0.06965914428240158,0.1688438494925019,TRUE
MB-0405,SNF_C1,0.3243636848096288,-0.09454989222227825,0.418913577031907,TRUE
MB-0471,SNF_C1,0.42864492034710333,-0.1975942480476112,0.6262391683947145,TRUE
MB-0347,SNF_C3,0.20141630582978085,0.06257263508472695,0.13884367074505388,TRUE
MB-0619,SNF_C2,0.07904912970971659,-0.014364289606310624,0.09341341931602722,TRUE
MB-0171,SNF_C2,0.45397090867155976,-0.11982228644404036,0.5737931951156001,TRUE
MB-0310,SNF_C2,0.3036604107136312,-0.07565074551752217,0.37931115623115336,TRUE
MB-0621,SNF_C2,0.4196174703016438,-0.1347048278241302,0.554322298125774,TRUE
MB-0614,SNF_C2,0.06145867284896558,0.03996818170680996,0.021490491142155614,FALSE
MB-0372,SNF_C3,0.41486933666288733,-0.1835764740947186,0.598445810757606,TRUE
MB-0374,SNF_C1,0.12382043575693381,-0.05759350539946101,0.1814139411563948,TRUE
MB-0382,SNF_C2,0.40335716387348086,-0.0896811784074737,0.49303834228095456,TRUE
MB-0327,SNF_C1,0.1990670065361782,0.1368330925162961,0.0622339140198821,TRUE
MB-0066,SNF_C1,0.19857543004130257,-0.018713658931835502,0.21728908897313806,TRUE
MB-0144,SNF_C2,0.1201111490354303,0.05054399876840286,0.06956715026702744,TRUE
MB-0596,SNF_C2,0.2703995713619777,-0.08306684900895359,0.35346642037093123,TRUE
MB-0164,SNF_C3,0.4934630344835925,-0.22618538790816187,0.7196484223917544,TRUE
MB-0215,SNF_C2,0.1547107640960954,0.0242990593033387,0.1304117047927567,TRUE
MB-0146,SNF_C1,0.3616692681135055,-0.13777954720863103,0.4994488153221366,TRUE
MB-0229,SNF_C1,0.23816636231655658,0.09761620778382922,0.14055015453272734,TRUE
MB-0505,SNF_C2,0.5019852234670691,-0.1750949166844368,0.6770801401515059,TRUE
MB-0102,SNF_C2,0.05220670690017486,0.011812133734285498,0.04039457316588936,TRUE
MB-0569,SNF_C3,0.049323719924416566,-0.028453376610409493,0.07777709653482606,TRUE
MB-0516,SNF_C3,0.5073679070347678,-0.2950680033235471,0.8024359103583149,TRUE
MB-0272,SNF_C1,0.22821304849871343,-0.04598295105325431,0.2741959995519677,TRUE
MB-0585,SNF_C1,0.139452813418378,0.013249404252651843,0.12620340916572617,TRUE
MB-0494,SNF_C3,0.3540898060370887,-0.13514072050125775,0.4892305265383464,TRUE
MB-0306,SNF_C2,0.11419902602557269,-0.007075547819110896,0.12127457384468358,TRUE
MB-0463,SNF_C2,0.2052003470361665,0.13928367369593508,0.06591667334023141,TRUE
MB-0198,SNF_C2,0.14931061962002418,-0.006642826445478478,0.15595344606550265,TRUE
MB-0203,SNF_C2,0.13262508719633848,0.006474034726189114,0.12615105247014935,TRUE
MB-0607,SNF_C2,0.22422500400282727,-0.019529939784812832,0.2437549437876401,TRUE
MB-0631,SNF_C2,0.281615837965015,0.03246026209444114,0.24915557587057385,TRUE
MB-0363,SNF_C3,0.06422298165669933,-0.003735027417709441,0.06795800907440877,TRUE
MB-0427,SNF_C2,0.040728081305402085,-0.013829197076334796,0.05455727838173688,TRUE
MB-0519,SNF_C3,0.1932511242279127,0.13818584052423957,0.05506528370367314,TRUE
MB-0371,SNF_C2,0.10024504893000079,-0.026875675033487246,0.12712072396348803,TRUE
MB-0380,SNF_C1,0.21976542699804488,-0.039121184573651074,0.25888661157169596,TRUE
MB-0221,SNF_C3,0.1232093226888877,-0.05065427970818755,0.17386360239707527,TRUE
MB-0348,SNF_C1,0.37397930142465274,0.005624144196082298,0.36835515722857043,TRUE
MB-0261,SNF_C1,0.27090713667804583,0.056745879314981235,0.2141612573630646,TRUE
MB-0576,SNF_C2,0.07755680224699636,0.03468290550549708,0.04287389674149928,TRUE
MB-0385,SNF_C1,0.20589750776851712,-0.07854467842907088,0.284442186197588,TRUE
MB-0659,SNF_C3,0.24880694150176974,-0.12134758552671623,0.37015452702848595,TRUE
MB-0270,SNF_C1,0.25436034299923266,-0.1152284104491193,0.36958875344835196,TRUE
MB-0379,SNF_C2,0.3063089316166077,-0.07593543472953684,0.38224436634614456,TRUE
MB-0432,SNF_C2,0.196953494819852,0.17423403693529846,0.02271945788455354,FALSE
MB-0527,SNF_C2,0.20273044387376324,0.02264197192318988,0.18008847195057337,TRUE
MB-0624,SNF_C2,0.4181833968522261,-0.15152373703850808,0.5697071338907342,TRUE
MB-0273,SNF_C1,0.169253483547267,0.13494938097604117,0.03430410257122582,TRUE
MB-0050,SNF_C2,0.3601206019669855,-0.07170771643593207,0.4318283184029176,TRUE
MB-0460,SNF_C2,0.4231142910788004,0.009047464249684561,0.41406682682911583,TRUE
MB-0654,SNF_C1,0.30014963054023325,0.13438896819877813,0.16576066234145512,TRUE
