k,period,comparison,tau,rmst_diff,ci_lower,ci_upper,p_value,FDR
2,early,SNF_C2 minus SNF_C1,9.5,-1.1662872377260465,-1.4448236846495068,-0.887750790802586,2.2724251614868897e-16,2.2724251614868897e-16
2,late,SNF_C2 minus SNF_C1,18.287499999999998,1.935538265879078,0.6973653155811403,3.173711216177016,0.0021850307317372976,0.0021850307317372976
3,early,SNF_C2 minus SNF_C1,9.5,0.4835436512321891,0.22173183667330454,0.7453554657910737,2.947362352799423e-4,2.947362352799423e-4
3,early,SNF_C3 minus SNF_C1,9.5,-1.0837267460510613,-1.415648426772861,-0.7518050653292615,1.560940308066575e-10,2.3414104620998624e-10
3,early,SNF_C3 minus SNF_C2,9.5,-1.5672703972832505,-1.9052904182987136,-1.2292503762677873,1.0124158000729208e-19,3.0372474002187624e-19
3,late,SNF_C2 minus SNF_C1,16.654027777777802,1.483308088278772,0.4477828553691614,2.5188333211883824,0.0049928676901238485,0.007489301535185773
3,late,SNF_C3 minus SNF_C1,18.287499999999998,3.244783248842202,1.8113647587016626,4.678201738982741,9.134535783726472e-6,2.7403607351179415e-5
3,late,SNF_C3 minus SNF_C2,16.654027777777802,1.5222196823291085,0.2333432188063893,2.8110961458518275,0.02062368809286473,0.02062368809286473
