K_param,sigma_param,ari_k2,ari_k3
10,0.3,0.8979807633288931,0.8643940672632665
20,0.3,0.9276069449189623,0.8806905474550014
30,0.3,0.9352210492750707,0.8834569667305145
10,0.5,0.9541213546308082,0.9198152963144702
20,0.5,1,1
30,0.5,0.9618899516269067,0.9670390265721731
10,0.8,0.9539601489230147,0.889349399298736
20,0.8,0.969301269611381,0.966965886110215
30,0.8,0.9504078194435818,0.9643817275043248
