TF,SNF_cluster,mean_in,mean_rest,cohens_d,activity_difference,kw_stat,kw_p,FDR,k,de_log2FC,de_padj,used_in_clustering,de_concordant_cluster
TFAP2C,SNF_C1,0.509597226222464,-1.110811893204022,1.962134927043294,1.620409119426486,414.0036918939686,4.927603614860579e-92,1.2959597507083322e-89,2,-0.6390710633238316,4.630742500020352e-19,FALSE,TRUE
FOXA1,SNF_C1,0.563382909355502,-1.2978639575737612,1.866715443348008,1.861246866929263,404.4350369232088,5.9634281571733e-90,5.22793868445526e-88,2,2.069124009777535,2.982999082720178e-101,TRUE,TRUE
E2F5,SNF_C1,-0.6136807474970329,1.3261884732527436,-1.825983427936588,-1.9398692207497765,405.39914576248657,3.6781370848172735e-90,4.8367502665347145e-88,2,-0.7420997699470957,6.126987452420095e-39,FALSE,TRUE
ATF4,SNF_C1,-0.6075711960856565,1.422606641366214,-1.5777407087252866,-2.0301778374518706,335.9726063943317,4.808176984570719e-75,2.1075842449034987e-73,2,-0.5783622800772702,9.204611341125334e-49,FALSE,TRUE
E2F2,SNF_C1,-1.0348774479850262,2.3426270931510262,-1.5550558926477298,-3.3775045411360525,378.4480835977474,2.7091910143003497e-84,1.78129309190248e-82,2,-1.6054653207532614,6.903643885388894e-110,FALSE,TRUE
E2F3,SNF_C1,-0.8420887977346454,1.7710759617695984,-1.5386379774603083,-2.6131647595042438,356.60645698458075,1.543575187448514e-79,8.119205485979185e-78,2,-1.1932344201436291,7.315414185073845e-141,FALSE,TRUE
RFX1,SNF_C1,0.5857338138170762,-1.3030397831052338,1.4619589941601536,1.88877359692231,305.30649933837003,2.299836901063899e-68,8.640815785425792e-67,2,0.1682028668515242,3.094170457850487e-7,FALSE,TRUE
PGR,SNF_C1,0.4680764211254911,-1.1197064037285418,1.3685946155092223,1.5877828248540329,301.55844130466767,1.5074481503386744e-67,4.955735794238392e-66,2,4.174162558640368,1.8538837041001223e-185,TRUE,TRUE
RELA,SNF_C1,-0.8000062981927467,2.204730098417544,-1.361938598850454,-3.0047363966102907,277.0203717932295,3.349044768287524e-62,8.807987740596188e-61,2,-0.17005406326512146,1.0728252188331427e-9,FALSE,TRUE
MYCN,SNF_C1,-0.7005718661627178,1.4206917389611269,-1.3317522221847855,-2.1212636051238447,288.8963881181735,8.65017529889399e-65,2.527773448454577e-63,2,-1.1961834124760051,3.0635716248670357e-21,TRUE,TRUE
TFAP2C,SNF_C2,-1.110811893204022,0.509597226222464,-1.962134927043294,-1.620409119426486,414.0036918939686,4.927603614860579e-92,1.2959597507083322e-89,2,0.6390711244327546,4.630706895827956e-19,FALSE,TRUE
FOXA1,SNF_C2,-1.2978639575737612,0.563382909355502,-1.866715443348008,-1.861246866929263,404.4350369232088,5.9634281571733e-90,5.22793868445526e-88,2,-2.0691238899534414,2.982956773964045e-101,TRUE,TRUE
E2F5,SNF_C2,1.3261884732527436,-0.6136807474970329,1.825983427936588,1.9398692207497765,405.39914576248657,3.6781370848172735e-90,4.8367502665347145e-88,2,0.7420998009740143,6.1269443166508e-39,FALSE,TRUE
ATF4,SNF_C2,1.422606641366214,-0.6075711960856565,1.5777407087252866,2.0301778374518706,335.9726063943317,4.808176984570719e-75,2.1075842449034987e-73,2,0.5783623019021843,9.204536281250452e-49,FALSE,TRUE
E2F2,SNF_C2,2.3426270931510262,-1.0348774479850262,1.5550558926477298,3.3775045411360525,378.4480835977474,2.7091910143003497e-84,1.78129309190248e-82,2,1.6054653718270784,6.903541674922015e-110,FALSE,TRUE
E2F3,SNF_C2,1.7710759617695984,-0.8420887977346454,1.5386379774603083,2.6131647595042438,356.60645698458075,1.543575187448514e-79,8.119205485979185e-78,2,1.1932344451593833,7.315319693272357e-141,FALSE,TRUE
RFX1,SNF_C2,-1.3030397831052338,0.5857338138170762,-1.4619589941601536,-1.88877359692231,305.30649933837003,2.299836901063899e-68,8.640815785425792e-67,2,-0.16820285613525443,3.0941760298872373e-7,FALSE,TRUE
PGR,SNF_C2,-1.1197064037285418,0.4680764211254911,-1.3685946155092223,-1.5877828248540329,301.55844130466767,1.5074481503386744e-67,4.955735794238392e-66,2,-4.17416234707727,1.8539826672942536e-185,TRUE,TRUE
RELA,SNF_C2,2.204730098417544,-0.8000062981927467,1.361938598850454,3.0047363966102907,277.0203717932295,3.349044768287524e-62,8.807987740596188e-61,2,0.17005407280639365,1.0728228656412644e-9,FALSE,TRUE
MYCN,SNF_C2,1.4206917389611269,-0.7005718661627178,1.3317522221847855,2.1212636051238447,288.8963881181735,8.65017529889399e-65,2.527773448454577e-63,2,1.1961835345887957,3.063544792637925e-21,TRUE,TRUE
RELA,SNF_C1,-1.988460889862314,1.336204211697176,-1.675880779929941,-3.32466510155949,518.6471065185174,2.3834815360640767e-113,3.134278219924261e-111,3,-0.04059358323635739,0.12352739928674164,FALSE,TRUE
ETV4,SNF_C1,-1.1988572594757925,0.9826731168236161,-1.6543890218978878,-2.1815303762994085,470.41262426933463,7.09898945559438e-103,3.734068453642644e-101,3,-0.5434967861293922,8.784591414568708e-8,TRUE,TRUE
SPIB,SNF_C1,-1.860208867615676,1.6139482956273419,-1.5024652256306008,-3.474157163243018,428.172966405702,1.0554111911048991e-93,2.5233922114598955e-92,3,-3.686154006631544,4.889628850484304e-189,TRUE,TRUE
JUN,SNF_C1,-1.277491172198024,0.99609421521388,-1.4853845447697331,-2.273585387411904,424.24431602369623,7.525186817691997e-93,1.6492701108774962e-91,3,-0.7958296824566402,4.569280433462315e-40,FALSE,TRUE
NFATC1,SNF_C1,-1.3642710210494244,1.1853311338735795,-1.4696225085263739,-2.549602154923004,405.8636318281938,7.376190864722311e-89,9.515063055585567e-88,3,-0.5849753440414672,9.042423450034131e-28,FALSE,TRUE
STAT3,SNF_C1,-1.2487021553109834,0.9610330552923712,-1.4415658239271076,-2.2097352106033545,396.6156072004601,7.516491627872736e-87,8.236822075543874e-86,3,-0.10311498301433218,0.00343539437514871,FALSE,TRUE
SRF,SNF_C1,-1.1311254035598393,0.9421763910786038,-1.4223632898443015,-2.073301794638443,409.2821782438332,1.3350705735715201e-89,1.950686449162832e-88,3,-0.5773292837196689,1.5061871673554183e-60,FALSE,TRUE
JUNB,SNF_C1,-1.1971454337904683,1.0170446039618721,-1.3622086102001945,-2.2141900377523402,353.38958285797753,1.829898922191502e-77,1.2340087603496538e-76,3,-0.7680059660292731,1.101047881698822e-33,FALSE,TRUE
HHEX,SNF_C1,0.8571038802133684,-0.7406507315984149,1.3584367513278481,1.5977546118117831,392.23686247527394,6.711931475434595e-86,6.789376838612686e-85,3,0.11427261405297068,0.10715156752380509,FALSE,TRUE
BCL6,SNF_C1,1.0850897691039347,-0.8546508089182537,1.346142117899735,1.9397405780221884,342.5496213755664,4.1332800253634477e-75,2.4156725481568594e-74,3,-0.10058424140734208,0.05034933588389493,FALSE,TRUE
FOXO1,SNF_C2,1.3508264458471984,-0.5108665720400305,1.812176646556165,1.8616930178872289,456.06982983185117,9.24048509263967e-100,3.037809474205292e-98,3,0.78511504201742,5.407471034092618e-68,FALSE,TRUE
THAP11,SNF_C2,2.3645949039881,-0.9154407642376022,1.7955593892866826,3.280035668225702,460.5830375722412,9.675293808690007e-101,3.6351461024078167e-99,3,-0.2746454342100239,2.6134940394396937e-21,FALSE,TRUE
E2F4,SNF_C2,-4.68510878833781,1.8065926939162888,-1.7474507443710425,-6.491701482254099,521.7593372654628,5.028048660524584e-114,1.3223767977179657e-111,3,-0.24519709371549264,9.592690904367352e-13,FALSE,TRUE
NR2C2,SNF_C2,-2.0716756902688296,0.8259528587717997,-1.745968574214677,-2.897628549040629,466.85977045769187,4.19458436584416e-102,1.838626147028357e-100,3,-0.03778914918529959,0.4343619199355655,FALSE,TRUE
GATA2,SNF_C2,1.395824083552701,-0.5212010285352254,1.6819865331854078,1.9170251120879263,422.19794264921165,2.0935417120827023e-92,4.235395925213467e-91,3,-0.13832866949294473,0.2026800809506099,TRUE,TRUE
RUNX2,SNF_C2,3.0243500658167175,-0.9695430066716245,1.6324966576160038,3.993893072488342,417.948389244973,1.7525096388554676e-91,3.292214535849914e-90,3,0.6627317839837774,9.316048870504735e-24,FALSE,TRUE
EOMES,SNF_C2,1.6924311503110339,-0.5772203935495377,1.6033313261925333,2.2696515438605713,414.0273356851744,1.2448194843034652e-90,2.182583495812076e-89,3,0.5441947915552484,6.064094770446422e-7,TRUE,TRUE
RARA,SNF_C2,1.2781028743268676,-0.454418371432381,1.5938589406200554,1.7325212457592487,412.6945875755241,2.423867928309947e-90,3.749866265561859e-89,3,-0.05516914446703617,0.4626439861033614,FALSE,TRUE
EBF1,SNF_C2,2.127331377891877,-0.772961632724269,1.5505905518305143,2.900293010616146,453.10068557086106,4.0778970270195795e-99,1.1916521312290547e-97,3,1.1097418327004809,8.097499940992136e-81,FALSE,TRUE
GATA6,SNF_C2,1.861700027548183,-0.6055625831164886,1.4775924968484602,2.4672626106646716,366.44188724621426,2.6801260216381342e-80,2.2737843344865463e-79,3,-0.22455857470114848,0.00549205239857239,FALSE,TRUE
TFAP2C,SNF_C3,-1.1358876995840537,0.49824570861300516,-1.973952505302027,-1.6341334081970589,405.80448730047556,7.597578865676688e-89,9.515063055585567e-88,3,0.6662055278614822,3.161658990597991e-20,FALSE,TRUE
FOXA1,SNF_C3,-1.3035763487301812,0.5426005177685786,-1.827842378454054,-1.84617686649876,408.86829454634926,1.6420180493986577e-89,2.272898668378142e-88,3,-2.1623842669989775,3.1626170738509013e-109,TRUE,TRUE
E2F5,SNF_C3,1.3455964837655872,-0.596532589794026,1.8159483192566415,1.942129073559613,396.65694191568355,7.362739901123535e-87,8.236822075543874e-86,3,0.7320057887524752,8.08292073140647e-37,FALSE,TRUE
ATF4,SNF_C3,1.4665668704443426,-0.5975556895270793,1.607893663021022,2.064122559971422,413.1596302837911,1.920994897412269e-90,3.157635362621417e-89,3,0.5913059479329873,5.383576803006337e-50,FALSE,TRUE
E2F2,SNF_C3,2.4262404088416516,-1.021729419208882,1.5942090485852478,3.4479698280505335,482.69763989895364,1.5259464109274715e-105,1.0033097651848125e-103,3,1.613459964661749,3.20538214732534e-108,FALSE,TRUE
E2F3,SNF_C3,1.8296636681283467,-0.8298692509707593,1.5701749405992247,2.6595329190991057,483.3736511892944,1.088291646249673e-105,9.5406900987888e-104,3,1.2182266427117154,1.0031127180047978e-145,FALSE,TRUE
RFX1,SNF_C3,-1.3458547153914335,0.5770586557798589,-1.4922203962933218,-1.9229133711712925,306.34100951335995,3.0122776107107755e-67,1.3659120889947137e-66,3,-0.18309677535096777,3.3821071643360945e-8,FALSE,TRUE
MYCN,SNF_C3,1.488405390414482,-0.6974116443315401,1.381091187500963,2.185817034746022,437.65591591519706,9.209273539824059e-96,2.4220389409737274e-94,3,1.0899305550292404,2.7550626573824478e-17,TRUE,TRUE
PGR,SNF_C3,-1.128764945832078,0.45175114164979857,-1.354500499206365,-1.5805160874818767,346.9831810115311,4.503597679903909e-76,2.8888931458895807e-75,3,-4.605471411291987,1.606188416738853e-228,TRUE,TRUE
E2F4,SNF_C3,3.725214611326662,-1.7976967959018642,1.3183958518756207,5.522911407228526,521.7593372654628,5.028048660524584e-114,1.3223767977179657e-111,3,0.5938067262298411,4.865720644895427e-72,FALSE,TRUE
