k,kruskal_p,kruskal_chisq,cluster,median_purity,n,cohens_d_vs_rest
2,7.044745321073257e-17,69.66036823413519,SNF_C1,0.7658,801,0.7089598620034107
2,7.044745321073257e-17,69.66036823413519,SNF_C2,0.6737500000000001,284,-0.7089598620034107
3,2.618902431269547e-74,338.85708314184075,SNF_C1,0.8178,442,1.2427632722464232
3,2.618902431269547e-74,338.85708314184075,SNF_C2,0.6844,369,-0.6959884373155726
3,2.618902431269547e-74,338.85708314184075,SNF_C3,0.67855,274,-0.5887967359963224
