full_barcode,PC1,PC2,PC3,PC4,PC5,PAM50
TCGA-3C-AAAU-01A-11R-A41B-07,36.27458411222208,15.55758100738046,-20.7859214672298,23.282777085902264,-10.918855189147235,LumA
TCGA-3C-AALI-01A-11R-A41B-07,-13.654333698117517,-5.661226590138782,-40.26903399327857,-21.160989172422966,8.075268210894539,Her2
TCGA-3C-AALJ-01A-31R-A41B-07,18.232307491532882,5.731403004943956,-34.83185901841503,17.214451916994292,11.941642313313976,LumB
TCGA-3C-AALK-01A-11R-A41B-07,9.100573531658581,-32.86480278136117,4.279782375332781,-9.341181615576303,13.517188931602844,LumA
TCGA-4H-AAAK-01A-12R-A41B-07,8.502764721547072,-17.253041529710234,13.45703262394584,1.3854224615031767,15.988852123529488,LumA
TCGA-5L-AAT0-01A-12R-A41B-07,10.65730594178767,-30.800239043362936,11.033152188227586,7.34276854120634,4.565042234425117,LumA
TCGA-5L-AAT1-01A-12R-A41B-07,-0.6934243206452209,-28.968467504318035,-10.12299375832419,-10.822460381282498,-0.06815871703527504,LumA
TCGA-5T-A9QA-01A-11R-A41B-07,37.130964566475505,59.56035519694305,-11.908979643261523,-1.635802920889914,5.38095567432282,LumB
TCGA-A1-A0SB-01A-11R-A144-07,-42.75513762209567,29.697034403251386,60.149559713188154,6.562464893526568,7.971139571635385,Normal
TCGA-A1-A0SD-01A-11R-A115-07,10.30891243542038,-26.60061983317482,7.357486013779702,9.131775927206917,11.492912025367863,LumA
TCGA-A1-A0SE-01A-11R-A084-07,12.616448306649527,-24.622190081395537,22.802564269167963,9.835698317997336,5.123877275437366,LumA
TCGA-A1-A0SF-01A-11R-A144-07,9.612670900421962,-43.34358181593237,5.814870628588742,4.781100535968039,9.598680797746866,LumA
TCGA-A1-A0SG-01A-11R-A144-07,23.172555709953635,-9.207101227509796,2.4048773676245756,-1.0403093688421166,18.904182808827134,LumA
TCGA-A1-A0SH-01A-11R-A084-07,2.595844756465825,-11.7512986594768,14.092360565305743,-11.861016942648854,10.180626226612342,LumA
TCGA-A1-A0SI-01A-11R-A144-07,-7.602496667487247,-27.41898217569442,-9.510043964472825,-27.562119445720466,-12.11084314455413,LumB
TCGA-A1-A0SJ-01A-11R-A084-07,1.1442729215780938,-25.911212970495026,-4.7311125390886595,21.977668675387587,21.331867841404506,LumA
TCGA-A1-A0SK-01A-12R-A084-07,-38.40873435796765,43.91935793761007,9.988938152000754,15.726404987632362,21.57678819317837,Basal
TCGA-A1-A0SM-01A-11R-A084-07,23.82054512156362,14.313235483609718,15.743513287417635,-29.951105111613188,11.258132176639974,NA
TCGA-A1-A0SN-01A-11R-A144-07,12.398905833045466,4.648786786562553,-4.650868938450445,-11.69859049790484,8.809610264718083,LumB
TCGA-A1-A0SO-01A-22R-A084-07,-54.93171050093053,44.18242084581502,-2.9799562754741986,16.02897613275983,-4.293201763975667,Basal
TCGA-A1-A0SP-01A-11R-A084-07,-71.99186257510705,4.806595496684363,3.0605556203723734,17.63466928956362,1.2734801950597938,Basal
TCGA-A1-A0SQ-01A-21R-A144-07,31.816127924593232,-2.320254870020132,-7.202530609458688,18.024840684480303,-11.046719703515269,LumA
TCGA-A2-A04N-01A-11R-A115-07,26.018605441353117,-13.714215056879205,3.855392711352438,-4.036958362800083,13.849128287626678,LumA
TCGA-A2-A04P-01A-31R-A034-07,-74.03462197415818,1.5622915439886016,4.553198808020027,-4.789603599410041,-14.263501356509494,Basal
TCGA-A2-A04Q-01A-21R-A034-07,-72.06234559224454,-25.389707220460533,-17.04915101808943,8.52487323855433,-19.28870969923673,Basal
TCGA-A2-A04R-01A-41R-A109-07,33.968195464272895,15.281759797089348,-2.9220677632021,27.980207430116355,11.036253563076057,LumB
TCGA-A2-A04T-01A-21R-A034-07,-82.53837519542043,21.27276287055414,7.863899342495739,22.23954364100925,-0.5908499086698905,Basal
TCGA-A2-A04U-01A-11R-A115-07,-67.72680926200218,44.40149557472838,15.653237603836622,8.144322852626837,2.113700789830941,Basal
TCGA-A2-A04V-01A-21R-A034-07,46.82409342230361,18.95520632367622,2.5595781938393256,18.195988708964947,11.996274710329965,LumA
TCGA-A2-A04W-01A-31R-A115-07,-18.479209739288255,-0.6373510406319948,-4.424074427897522,-53.51054564386934,8.069685121864383,Her2
