gene_id,variance
ENSG00000110484.7,22.30119195502801
ENSG00000166509.12,21.708284868382076
ENSG00000153002.12,21.587315782313556
ENSG00000124935.4,16.59404569273739
ENSG00000160182.3,16.182485298942236
ENSG00000159763.4,15.368131826024065
ENSG00000172551.11,14.979746735720495
ENSG00000256612.7,14.845984561808933
ENSG00000162989.5,14.811639541034772
ENSG00000244468.1,13.878888090709902
ENSG00000235687.9,13.717201116632666
ENSG00000134184.13,13.436699116901679
ENSG00000143556.9,13.270776243300398
ENSG00000148513.18,13.259729914868633
ENSG00000008196.13,13.178890286973278
ENSG00000185686.18,12.945596600143611
ENSG00000186160.5,12.68464840091826
ENSG00000100867.15,12.665419741265563
ENSG00000134240.12,12.549803411161271
ENSG00000184956.16,12.542395699589159
ENSG00000173467.9,12.28301867222899
ENSG00000178372.8,12.076400401418141
ENSG00000170099.6,12.027588189684671
ENSG00000170419.11,11.843242980743717
ENSG00000012223.13,11.753944852551584
ENSG00000164756.12,11.722385935063446
ENSG00000138696.11,11.614423012502705
ENSG00000160180.15,11.507845133752083
ENSG00000094755.17,11.502066691863527
ENSG00000186847.6,11.198716908491077
ENSG00000235123.5,11.134220482407915
ENSG00000164128.7,11.11782416547072
ENSG00000186081.12,11.040044379295198
ENSG00000151892.15,11.017717854119917
ENSG00000139219.19,10.948811462392872
ENSG00000105141.6,10.920801691029197
ENSG00000019505.8,10.83936502506256
ENSG00000117983.17,10.764475314450285
ENSG00000086548.9,10.715772467498235
ENSG00000198650.11,10.6911874490011
ENSG00000169347.17,10.63594653478458
ENSG00000105388.16,10.599309987806073
ENSG00000213759.10,10.584339685905764
ENSG00000181617.6,10.572461365165639
ENSG00000082175.15,10.52615476817826
ENSG00000196616.14,10.52251071548544
ENSG00000100146.18,10.306631857336408
ENSG00000106541.12,10.296571404838854
ENSG00000120251.21,10.114732542835165
ENSG00000181092.10,10.112261735006385
ENSG00000141750.7,10.017361926706545
ENSG00000173335.5,9.782480300365625
ENSG00000211896.7,9.645243120203292
ENSG00000205426.10,9.639369216536767
ENSG00000185479.6,9.605988938775843
ENSG00000196091.15,9.520377182094526
ENSG00000081479.15,9.500331438250818
ENSG00000234918.1,9.298334863549503
ENSG00000091831.24,9.29367642907058
ENSG00000096006.12,9.27841568731162
ENSG00000157765.13,9.25012779818687
ENSG00000184564.11,9.126002002006446
ENSG00000137975.8,9.120096580970971
ENSG00000128422.17,9.105908768294551
ENSG00000251141.6,9.090878475657242
ENSG00000167757.14,9.043859807656755
ENSG00000007062.12,9.030623246248318
ENSG00000164434.12,9.007918478111147
ENSG00000242265.6,9.004581610247707
ENSG00000186832.9,8.903435443053594
ENSG00000162896.6,8.886932983565119
ENSG00000159212.13,8.87324856169352
ENSG00000131771.14,8.87083848971899
ENSG00000196090.12,8.86245174957912
ENSG00000121270.16,8.828133558018024
ENSG00000102837.7,8.816953387172346
