k,group_ref,group_comp,tau_years,rmst_diff_years,rmst_diff_lower,rmst_diff_upper,rmst_diff_p
2,SNF_C1,SNF_C2,29,-1.1629773220048172,-2.2349919373264857,-0.09096270668314888,0.0334806952305171
3,SNF_C1,SNF_C2,27,2.7858029334701655,1.7616323096314899,3.809973557308841,9.755803081557888e-8
3,SNF_C1,SNF_C3,27,-0.07473459015896466,-1.2011347824074372,1.0516656020895079,0.8965347630043349
3,SNF_C2,SNF_C3,27,-2.86053752362913,-4.118822809464033,-1.602252237794227,8.361717974752446e-6
