view,is_permuted,rho_dist_expr_vs_tf,rho_affinity_fused_vs_expr,ari_fused_vs_expronly_k2,ari_fused_vs_expronly_k3
dorothea_AC__viper,FALSE,0.2763121241111611,0.724179647624981,0.7611851124537607,0.5959983537521074
dorothea_AC_edgeperm__viper,TRUE,0.28717213402214825,0.7867789857315817,0.9084350154954368,0.6515273002557315
collectri__viper,FALSE,0.3654042899787797,0.8081859696022048,0.8927500230229204,0.6647549080171414
collectri_edgeperm__viper,TRUE,0.332134221894726,0.820883643028698,0.9465866955251403,0.6488227962576425
dorothea_AB__viper,FALSE,0.3399525903151662,0.7700980908154301,0.7925752001991145,0.6518512788331711
