term,chisq,df,p,k
assigned_SNF_cluster,88.4797920301028,1,5.1356854254951845e-21,2
age_covariate,95.37950229297662,1,1.571726716542154e-22,2
er_covariate,96.12399196776838,1,1.0790916635616768e-22,2
GLOBAL,163.97895966858633,3,2.5373485185618835e-35,2
assigned_SNF_cluster,101.57981495098774,2,8.754340752584367e-23,3
age_covariate,94.81184997005421,1,2.0936855573741547e-22,3
er_covariate,96.58980376818539,1,8.528636108787462e-23,3
GLOBAL,170.54552262256752,4,7.987005885814789e-36,3
