k,view,SNF_fused,naive_concatenation,baseline_ari,fused_minus_concat,fused_minus_baseline,concat_minus_baseline
2,dorothea_AC__viper,0.4113403888287661,0.4101907545669643,0.4021180623382205,0.001149634261801813,0.009222326490545607,0.008072692228743794
3,dorothea_AC__viper,0.32635449699892727,0.3142383033422152,0.3053098462032744,0.012116193656712071,0.021044650795652875,0.008928457138940804
2,dorothea_AB__viper,0.4375607343718472,0.403521149896016,0.4021180623382205,0.03403958447583122,0.03544267203362672,0.0014030875577955015
3,dorothea_AB__viper,0.3368166503092461,0.3055895957901225,0.3053098462032744,0.03122705451912361,0.03150680410597173,2.7974958684812146e-4
2,collectri__viper,0.4105125156401721,0.4157781065757741,0.4021180623382205,-0.0052655909356019714,0.008394453301951599,0.01366004423755357
3,collectri__viper,0.33150804075507323,0.30580167489774307,0.3053098462032744,0.02570636585733016,0.026198194551798837,4.918286944686767e-4
2,dorothea_AC_edgeperm__viper,0.41451236470970504,0.41072196088215207,0.4021180623382205,0.0037904038275529683,0.012394302371484534,0.008603898543931565
3,dorothea_AC_edgeperm__viper,0.3303865556664355,0.30602357631219895,0.3053098462032744,0.024362979354236536,0.025076709463161095,7.137301089245596e-4
2,dorothea_AB_edgeperm__viper,0.435720420533386,0.403521149896016,0.4021180623382205,0.03219927063736999,0.033602358195165494,0.0014030875577955015
3,dorothea_AB_edgeperm__viper,0.2895670667228613,0.30601541661774195,0.3053098462032744,-0.016448349894880643,-0.015742779480413083,7.055704144675601e-4
2,collectri_edgeperm__viper,0.386389565981592,0.4246248313974113,0.4021180623382205,-0.038235265415819286,-0.015728496356628485,0.0225067690591908
3,collectri_edgeperm__viper,0.3046924207080365,0.29321871651664394,0.3053098462032744,0.011473704191392542,-6.17425495237911e-4,-0.012091129686630453
2,dorothea_AC__ulm,0.409639494093882,0.4101907545669643,0.4021180623382205,-5.512604730822934e-4,0.007521431755661501,0.008072692228743794
3,dorothea_AC__ulm,0.3232894929370575,0.3142383033422152,0.3053098462032744,0.009051189594842302,0.017979646733783106,0.008928457138940804
2,dorothea_AB__ulm,0.43895771344082046,0.403521149896016,0.4021180623382205,0.035436563544804456,0.03683965110259996,0.0014030875577955015
3,dorothea_AB__ulm,0.3324907906492952,0.30556006693022925,0.3053098462032744,0.026930723719065963,0.027180944446020816,2.5022072695485287e-4
2,collectri__ulm,0.4091109048061231,0.4160152083271422,0.4021180623382205,-0.006904303521019117,0.006992842467902605,0.013897145988921722
3,collectri__ulm,0.32498735122790423,0.304065547092837,0.3053098462032744,0.020921804135067223,0.019677505024629838,-0.0012442991104373857
2,dorothea_AC_edgeperm__ulm,0.41480904147442343,0.4087883627133614,0.4021180623382205,0.006020678761062048,0.012690979136202929,0.006670300375140881
3,dorothea_AC_edgeperm__ulm,0.3280272653716796,0.30681168547121646,0.3053098462032744,0.021215579900463133,0.022717419168405195,0.0015018392679420622
2,dorothea_AB_edgeperm__ulm,0.4321020718922215,0.403521149896016,0.4021180623382205,0.02858092199620549,0.02998400955400099,0.0014030875577955015
3,dorothea_AB_edgeperm__ulm,0.29051589023234387,0.3056535182175904,0.3053098462032744,-0.015137627985246538,-0.014793955970930528,3.436720143160099e-4
2,collectri_edgeperm__ulm,0.3827935377372664,0.4246248313974113,0.4021180623382205,-0.04183129366014493,-0.01932452460095413,0.0225067690591908
3,collectri_edgeperm__ulm,0.2968210784954235,0.29396374393135716,0.3053098462032744,0.0028573345640663383,-0.008488767707850897,-0.011346102271917236
2,dorothea_AC__mlm,0.3812966485861705,0.40448645364696034,0.4021180623382205,-0.023189805060789825,-0.02082141375204999,0.0023683913087398367
3,dorothea_AC__mlm,0.3265494535214023,0.31047461168674195,0.3053098462032744,0.016074841834660347,0.021239607318127907,0.005164765483467559
2,dorothea_AB__mlm,0.3798289598975094,0.40499519676261087,0.4021180623382205,-0.025166236865101443,-0.022289102440711084,0.0028771344243903596
3,dorothea_AB__mlm,0.31865822077919403,0.3087456104827378,0.3053098462032744,0.009912610296456237,0.013348374575919641,0.0034357642794634047
