sample_id,assigned_cluster,best_correlation,second_best_correlation,confidence_gap,high_confidence
MB-0362,SNF_C1,0.30975242259669244,-0.30975242259669244,0.6195048451933849,TRUE
MB-0346,SNF_C2,0.1439045671985765,-0.1439045671985766,0.2878091343971531,TRUE
MB-0386,SNF_C1,0.11741297126595786,-0.11741297126595784,0.2348259425319157,TRUE
MB-0574,SNF_C1,0.2645404173274644,-0.2645404173274644,0.5290808346549288,TRUE
MB-0185,SNF_C2,0.11562283109732585,-0.11562283109732585,0.2312456621946517,TRUE
MB-0503,SNF_C1,0.21306953159640907,-0.2130695315964091,0.42613906319281813,TRUE
MB-0641,SNF_C2,0.028923595682408276,-0.028923595682408227,0.0578471913648165,TRUE
MB-0201,SNF_C2,0.18590800255718967,-0.1859080025571897,0.3718160051143794,TRUE
MB-0218,SNF_C1,0.22035187288196198,-0.22035187288196204,0.440703745763924,TRUE
MB-0316,SNF_C2,0.5472744981519932,-0.5472744981519932,1.0945489963039865,TRUE
MB-0189,SNF_C1,0.007577305696605887,-0.007577305696605826,0.015154611393211713,FALSE
MB-0891,SNF_C1,0.24188022288673058,-0.24188022288673056,0.4837604457734611,TRUE
MB-0658,SNF_C2,0.5243169810845704,-0.5243169810845705,1.048633962169141,TRUE
MB-0899,SNF_C1,0.16799786584648602,-0.167997865846486,0.33599573169297203,TRUE
MB-0605,SNF_C1,0.22005919384065825,-0.22005919384065817,0.4401183876813164,TRUE
MB-0258,SNF_C1,0.2020270501173932,-0.2020270501173932,0.4040541002347864,TRUE
MB-0506,SNF_C2,0.20379659955015053,-0.20379659955015056,0.4075931991003011,TRUE
MB-0420,SNF_C2,0.4365975460905853,-0.4365975460905854,0.8731950921811706,TRUE
MB-0223,SNF_C1,0.1460343032405871,-0.1460343032405871,0.2920686064811742,TRUE
MB-0445,SNF_C1,0.24074996478792227,-0.24074996478792232,0.4814999295758446,TRUE
MB-0199,SNF_C1,0.2663349926078761,-0.2663349926078761,0.5326699852157522,TRUE
MB-0517,SNF_C1,0.3413524694544035,-0.34135246945440356,0.6827049389088071,TRUE
MB-0155,SNF_C1,0.03134678469744878,-0.03134678469744874,0.06269356939489752,TRUE
MB-0428,SNF_C2,0.02630853218544702,-0.026308532185446987,0.05261706437089401,TRUE
MB-0117,SNF_C1,0.12308102482044088,-0.12308102482044084,0.24616204964088173,TRUE
MB-0906,SNF_C2,0.3313016962804867,-0.3313016962804867,0.6626033925609734,TRUE
MB-0249,SNF_C2,0.23661660271048085,-0.2366166027104809,0.47323320542096176,TRUE
MB-0660,SNF_C2,0.11883632135168733,-0.11883632135168734,0.23767264270337468,TRUE
MB-0497,SNF_C1,0.18137015914852328,-0.1813701591485233,0.36274031829704656,TRUE
MB-0434,SNF_C1,0.008713489975506986,-0.008713489975507053,0.01742697995101404,FALSE
MB-0143,SNF_C1,0.186608137149489,-0.186608137149489,0.373216274298978,TRUE
MB-0513,SNF_C1,0.16477301218294071,-0.1647730121829407,0.32954602436588143,TRUE
MB-0541,SNF_C1,0.14414296351632835,-0.14414296351632835,0.2882859270326567,TRUE
MB-0653,SNF_C2,0.10020248846742316,-0.10020248846742319,0.20040497693484635,TRUE
MB-0455,SNF_C2,0.21529303790846666,-0.2152930379084667,0.43058607581693337,TRUE
MB-0540,SNF_C2,0.2673140532016866,-0.26731405320168666,0.5346281064033733,TRUE
MB-0384,SNF_C1,0.12674013838789477,-0.12674013838789475,0.25348027677578955,TRUE
MB-0637,SNF_C2,0.0904392851442883,-0.09043928514428831,0.18087857028857662,TRUE
MB-0157,SNF_C2,0.46693887730266814,-0.46693887730266825,0.9338777546053364,TRUE
MB-0443,SNF_C1,0.04153379377228361,-0.041533793772283605,0.08306758754456722,TRUE
MB-0584,SNF_C1,0.10288111109786542,-0.10288111109786538,0.20576222219573082,TRUE
MB-0292,SNF_C2,0.18572960472279548,-0.18572960472279548,0.37145920944559097,TRUE
MB-0322,SNF_C1,0.2557499600548947,-0.25574996005489464,0.5114999201097894,TRUE
MB-0501,SNF_C1,0.24671142140041585,-0.24671142140041583,0.4934228428008317,TRUE
MB-0401,SNF_C2,0.40615601531157547,-0.4061560153115755,0.812312030623151,TRUE
MB-0140,SNF_C1,0.2522131352924281,-0.2522131352924281,0.5044262705848562,TRUE
