ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,k,cluster
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,32,-0.3871066037228688,-1.2979484403631725,0.14224137931034483,0.21551724137931036,0.09074410163339384,5168,"tags=47%, list=25%, signal=35%",FZD5/APH1A/NOTCH3/RBX1/TCF7L2/DTX2/DTX4/CUL1/SAP30/FZD7/PPARD/PRKCA/MAML2/NOTCH1/ST3GAL6,2,SNF_C1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,-0.3125358496115015,-1.2360021757254123,0.15119363395225463,0.22234357934155094,0.09361834919644249,5099,"tags=36%, list=25%, signal=27%",HMGCS1/TNFRSF12A/LSS/FBXO6/CHKA/PCYT2/IDI1/ERRFI1/ANXA5/NSDHL/ATF5/GNAI1/DHCR7/EBP/ACAT2/CBS/LGMN/MVD/STARD4/PLSCR1/S100A11/PLAUR/FDPS/NFIL3/PNRC1/CXCL16/FABP5,2,SNF_C1
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,28,0.3289267028558131,1.2123056162046841,0.17325227963525835,0.24750325662179765,0.10421189752496746,4733,"tags=36%, list=23%, signal=27%",ABCC8/CHGA/PCSK1/INSM1/SYT13/SPCS1/SRP14/HNF1A/STXBP1/SCGN,2,SNF_C1
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,152,0.21392159000738015,1.100528536012741,0.19428571428571428,0.2698412698412698,0.11361737677527152,4199,"tags=33%, list=21%, signal=26%",SLC22A5/BMPR1B/HSD17B4/ELOVL5/GLUL/UGDH/ALAD/CYP4A11/HSDL2/HMGCL/ACOT2/REEP6/HMGCS2/PDHB/SUCLG2/BLVRA/ALDH3A2/PTPRG/MAOA/SERINC1/ADIPOR2/ETFDH/ECI2/XIST/AOC3/AUH/LTC4S/CPT1A/CRAT/CYP4A22/RETSAT/INMT/AQP7/ACADS/GPD1/D2HGDH/GSTZ1/ECI1/HAO2/MGLL/FASN/CIDEA/CRYZ/RAP1GDS1/CA2/GPD2/CA4/RDH16/SUCLA2/HSD17B7,2,SNF_C1
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,96,0.2360374759560103,1.13037303516269,0.2127659574468085,0.2875215641173088,0.12106171120728791,4611,"tags=30%, list=23%, signal=23%",SCAMP1/COG2/KRT18/ARFIP1/MON2/AP2B1/TOM1L1/GALC/SNAP23/NAPA/ICA1/ATP7A/TSG101/AP3B1/GLA/YIPF6/VAMP4/CLCN3/RAB14/ARFGEF1/ARFGEF2/SNX2/GBF1/CLN5/PPT1/TMED10/COPB1/CLTC/NAPG,2,SNF_C1
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,43,-0.2824170024622928,-1.0064678677563017,0.44195804195804195,0.5815237394184762,0.2448521008077795,2559,"tags=30%, list=13%, signal=26%",EPHB4/AKAP7/DCBLD2/PCSK9/APP/EFNA5/CX3CL1/GHRL/PLAUR/IL2RG/MAL/LYN/RHCG,2,SNF_C1
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,182,0.19094446503671736,0.9948265076123244,0.5102040816326531,0.6541077969649399,0.27541380924839576,3218,"tags=21%, list=16%, signal=18%",BCAM/BTRC/BTG2/ADD1/ALDH6A1/VEZF1/TMEM9B/DCAF10/ALAD/EZH1/NUDT4/HEBP1/RBM5/PIGQ/LRP10/EPOR/SLC22A4/SLC30A1/ABCG2/TRAK2/MARCHF8/RNF123/ARHGEF12/BLVRA/GAPVD1/TRIM58/HAGH/ATP6V0A1/BNIP3L/SIDT2/GDE1/KHNYN/GATA1/CLCN3/TSPAN5/SLC25A38/DCAF11/SELENBP1/MINPP1,2,SNF_C1
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,184,0.18674649544184016,0.9715564484355163,0.5918367346938775,0.6932021466905188,0.29187458808021843,4205,"tags=24%, list=21%, signal=20%",ESR1/SERPINA6/MCCC2/FBP1/TMBIM6/ENTPD5/TAT/ELOVL5/IGFBP4/UGDH/SAR1B/MPP2/CSAD/ACOX2/CROT/NINJ1/TKFC/CYB5A/VTN/ARPP19/FAH/MAOA/ACSM1/GAD1/ACOX3/ETFDH/CYP26A1/LEAP2/CYP4F2/CFB/PDK4/MAN1A1/PTGES/RETSAT/DHRS7/SLC35D1/PTGR1/PINK1/MARCHF6/SLC46A3/CYFIP2/CA2/GSTT2/AOX1/GNMT,2,SNF_C1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,-0.21232009712461475,-0.9585754014799849,0.5559481743227326,0.6932021466905188,0.29187458808021843,4418,"tags=22%, list=22%, signal=17%",COL4A2/FBN2/FBLN5/LAMA1/MEST/IGFBP3/PCOLCE2/SLC6A8/P3H1/VIM/FLNA/TGFBI/FAS/GLIPR1/SNTB1/LAMC2/PPIB/PFN2/TNFAIP3/IL15/SERPINH1/SAT1/VEGFA/CXCL6/CALU/MMP1/PLAUR/CXCL8/DKK1/VCAM1/SFRP1/SERPINE2/GPX7/IL32/PVR/CRLF1/PLOD3/FOXC2/MCM7/COLGALT1/PTX3/CXCL1/PLOD1,2,SNF_C1
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,101,0.19624407094825855,0.9480547111264576,0.5947136563876652,0.6932021466905188,0.29187458808021843,4448,"tags=28%, list=22%, signal=22%",SERPINA6/HSD17B4/ABCC8/ELOVL5/SEMA3C/SLC27A2/PEX11A/ABCD3/ALB/HMGCL/DLG4/EPHX2/ABCC5/UGT2B17/ISOC1/ECI2/LONP2/CRAT/RETSAT/CDK7/HAO2/SULT2B1/ATXN1/HSD3B7/DIO1/IDE/DHCR24/MVP,2,SNF_C1
