k,n_with_pam50,n_total,min_expected_cell_count,association_test,p_value,ARI,NMI,empirical_p_ARI_vs_permutation_null
2,1083,1095,10.526315789473685,Chi-square,9.529682034181693e-163,0.4113403888287661,0.2868546297705398,0
3,1083,1095,10.156971375807942,Chi-square,1.9857220216941554e-212,0.32635449699892727,0.3765715257079634,0
