k,endpoint,view,label,n_boot_valid,point_estimate,ci90_lower,ci90_upper,ci95_lower,ci95_upper,sesoi,p_tost,p_two_sided,equivalent,superior,conclusion,mdd_80pct_power,p_two_sided_BH,p_tost_BH,superior_after_BH,equivalent_after_BH
2,lrt_over_age_er,dorothea_AC_edgeperm__norm_wsum,lrt_over_age_er:dorothea_AC_edgeperm__norm_wsum,1000,0.5174411822403309,-1.8721037976002664,3.3022655900340396,-2.5225583748439933,4.115650000726327,3.84,0.033,0.718,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,4.401676690039676,0.8865714285714287,0.06490476190476191,FALSE,FALSE
2,lrt_over_age_er,dorothea_AC_edgeperm__ulm,lrt_over_age_er:dorothea_AC_edgeperm__ulm,1000,1.057068539970307,-1.0520020280745483,3.8021484606453666,-1.6517985447403136,4.702114406750204,3.84,0.047,0.452,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,4.421399212574183,0.8865714285714287,0.06490476190476191,FALSE,FALSE
2,lrt_over_age_er,dorothea_AC_edgeperm__viper,lrt_over_age_er:dorothea_AC_edgeperm__viper,1000,1.2147119201389687,-0.951042892130772,4.013098584735143,-1.4176346069263215,4.947306956702778,3.84,0.056,0.382,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",4.476109890652163,0.8865714285714287,0.06495999999999999,FALSE,FALSE
3,cindex_adjusted,collectri__consensus,cindex_adjusted:collectri__consensus,1000,-0.0010251690095430795,-0.0031135143158544376,8.815261838609859e-4,-0.003563366255532166,0.0012243135641767597,0.02,0,0.424,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.003471938448321514,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri__norm_wsum,cindex_adjusted:collectri__norm_wsum,1000,-0.001580216659946924,-0.0038292163209102947,3.3262293300037593e-4,-0.004299984089390238,6.313386549791938e-4,0.02,0,0.174,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0035033083787891516,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri__ulm,cindex_adjusted:collectri__ulm,1000,-9.907617039028975e-4,-0.002998244851996895,9.189361485167357e-4,-0.0035539572889319556,0.0012054837874819029,0.02,0,0.43,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0034326264679289727,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri__viper,cindex_adjusted:collectri__viper,1000,-0.0010597464274734205,-0.0034006849281104034,9.473445619271489e-4,-0.0039001616628454444,0.0013069008265336563,0.02,0,0.398,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0036965135665226415,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri_edgeperm__consensus,cindex_adjusted:collectri_edgeperm__consensus,1000,-0.0012576791571229141,-0.004185345162502168,0.001380125451890468,-0.00495406428763005,0.0019513948295330349,0.02,0,0.458,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004877709666032702,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri_edgeperm__mlm,cindex_adjusted:collectri_edgeperm__mlm,1000,2.47990912738942e-4,-0.0016274392537971361,0.002085411533237186,-0.002024490418752778,0.002459446773276047,0.02,0,0.768,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.003063265862442657,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri_edgeperm__norm_wsum,cindex_adjusted:collectri_edgeperm__norm_wsum,1000,-0.002169014047443082,-0.005410251077932211,7.014096790209635e-4,-0.0063416650869825755,0.0012205725559180584,0.02,0,0.202,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.005279424835060622,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri_edgeperm__ulm,cindex_adjusted:collectri_edgeperm__ulm,1000,-0.0019748452397287597,-0.005303053326437618,9.333132803256477e-4,-0.006173427520090702,0.001411695472495994,0.02,0,0.254,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0053420937663664035,0.962,0,FALSE,TRUE
3,cindex_adjusted,collectri_edgeperm__viper,cindex_adjusted:collectri_edgeperm__viper,1000,-0.0017720391080029458,-0.004788124679351741,9.734170993500031e-4,-0.005427737900452553,0.0015004191871347602,0.02,0,0.29,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.005032051701881873,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB__consensus,cindex_adjusted:dorothea_AB__consensus,1000,-2.70059060461204e-4,-0.002650343953631978,0.0019964973340126143,-0.0034159825274739375,0.002607496399625347,0.02,0,0.896,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004028080021236782,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB__mlm,cindex_adjusted:dorothea_AB__mlm,1000,-3.179098040107187e-4,-0.0026660042160596975,0.0017931108842550547,-0.003260746010466936,0.0021747475947011294,0.02,0,0.828,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0038497605276129783,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB__norm_wsum,cindex_adjusted:dorothea_AB__norm_wsum,1000,-4.111217973286313e-4,-0.0029043386327935127,0.0019468956831578564,-0.0037898419867108653,0.002763033139779366,0.02,0,0.786,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004267108634505379,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB__ulm,cindex_adjusted:dorothea_AB__ulm,1000,-5.133233605397961e-4,-0.0030194095686008056,0.0018850973887098324,-0.003790063418304815,0.0027024292893959765,0.02,0,0.722,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0043314649174032134,0.962,0,FALSE,TRUE
