model,k,term,estimate,std.error,statistic,p.value,conf.low,conf.high
T4_no_content_adjustment,2,clSNF_C2,1.422513938642211,0.09791755047845851,3.5992085580395674,3.191871310715517e-4,1.1741104690480426,1.7234714781753435
T4_no_content_adjustment,2,periodlate_gt10y,NA,0,NA,NA,NA,NA
T4_no_content_adjustment,2,erPositive,0.5833539883505149,0.11021155646560585,-4.890241187428197,1.007124989557804e-6,0.47002388138503776,0.7240097561036086
T4_no_content_adjustment,2,age,1.04082752997479,0.0027489705882832336,14.556757653119494,5.2908361417686523e-48,1.035234752803336,1.0464505217003872
T4_no_content_adjustment,2,clSNF_C2:periodlate_gt10y,0.5659230629925901,0.18249697941527568,-3.1194880208481433,0.0018116562722279342,0.3957452241782896,0.8092805513747117
T4_no_content_adjustment,2,periodlate_gt10y:erPositive,2.2698362148662787,0.22874853017878627,3.5834445633738934,3.3909275699687825e-4,1.4497176251354584,3.5539034312541165
T5_adjusted_for_stromal_immune,2,clSNF_C2,1.5876675567463552,0.11327611104465665,4.08087803781928,4.486589372532743e-5,1.2715655982949439,1.9823501627638869
T5_adjusted_for_stromal_immune,2,periodlate_gt10y,NA,0,NA,NA,NA,NA
T5_adjusted_for_stromal_immune,2,erPositive,0.5887516795609538,0.11033756379526699,-4.801182504637138,1.5773143347365917e-6,0.4742558039488811,0.7308894004030074
T5_adjusted_for_stromal_immune,2,age,1.0408131221373949,0.0027716830560652085,14.432478414400821,3.232532109559187e-47,1.0351743399328892,1.046482619810323
T5_adjusted_for_stromal_immune,2,stromal_z,1.0225690718155622,0.037668548675394674,0.5924878801006671,0.5535239342725771,0.9497933539540908,1.1009210606502968
T5_adjusted_for_stromal_immune,2,immune_z,0.9174613584484529,0.04502522932296901,-1.9132565756606104,0.05571521392825277,0.8399670249380276,1.0021052246761513
T5_adjusted_for_stromal_immune,2,clSNF_C2:periodlate_gt10y,0.503889120500549,0.2108009392597659,-3.251404080682691,0.0011483651730249925,0.33335033566387284,0.7616738865829016
