k,step,lrt_chisq,df,p_value
2,M1 vs M0: + ER,33.34823565716579,1,7.704768867328967e-9
2,M2 vs M1: + subtype,31.14713194927026,5,8.761039329710713e-6
2,M3 vs M2: + SNF cluster (KEY TEST),3.80681714903767,1,0.05104436064807473
2,M3 vs M1: + subtype + SNF cluster,34.95394909830793,6,4.398943287324455e-6
3,M1 vs M0: + ER,33.34823565716579,1,7.704768867328967e-9
3,M2 vs M1: + subtype,31.14713194927026,5,8.761039329710713e-6
3,M3 vs M2: + SNF cluster (KEY TEST),3.235823752356737,2,0.19831236781690056
3,M3 vs M1: + subtype + SNF cluster,34.382955701627,7,1.46024937309025e-5
