model,k,term,estimate,std.error,statistic,p.value,conf.low,conf.high
T1_cluster_x_period,2,clSNF_C2,1.8745513890502217,0.07513129175305863,8.363617301928468,6.08239950307718e-17,1.6178769186288842,2.1719469940693057
T1_cluster_x_period,2,periodlate_gt10y,NA,0,NA,NA,NA,NA
T1_cluster_x_period,2,age,1.038805387939153,0.0026815435461234383,14.197564512206327,9.485198103004123e-46,1.0333600307666175,1.0442794397716846
T1_cluster_x_period,2,clSNF_C2:periodlate_gt10y,0.3724179955211822,0.145468871852041,-6.790032802720655,1.1210805171926776e-11,0.28003178585314775,0.49528364419583715
T2_ER_x_period,2,erPositive,0.45062401643495464,0.08510899634363008,-9.365895356062229,7.540819147505979e-21,0.38139010836977494,0.5324259851833716
T2_ER_x_period,2,periodlate_gt10y,NA,0,NA,NA,NA,NA
T2_ER_x_period,2,age,1.0406084932953827,0.002743392239594343,14.509639266173089,1.0527272691115513e-47,1.0350282093712415,1.0462188629393063
T2_ER_x_period,2,erPositive:periodlate_gt10y,3.4770587161975297,0.1833107718086036,6.7982188259652965,1.0592049005688982e-11,2.4276027048548174,4.98019601465564
T3_cluster_x_period_plus_ER,2,clSNF_C2,1.585655724600105,0.09025934095280404,5.107482763359821,3.2647886799769635e-7,1.3285564417178488,1.892508287947512
T3_cluster_x_period_plus_ER,2,periodlate_gt10y,NA,0,NA,NA,NA,NA
T3_cluster_x_period_plus_ER,2,erPositive,0.7056859159503909,0.09615977620396747,-3.6250606282030913,2.888936694202734e-4,0.5844671410438115,0.8520455248884774
T3_cluster_x_period_plus_ER,2,age,1.0410508871698096,0.002746871986434773,14.645994281820013,1.4289547315508933e-48,1.035461168845575,1.0466707804072948
T3_cluster_x_period_plus_ER,2,clSNF_C2:periodlate_gt10y,0.3665050769526551,0.14547838617833936,-6.899601594354963,5.2148582891264205e-12,0.2755805535739666,0.4874290645330973
T4_cluster_x_period_plus_ER_x_period,2,clSNF_C2,1.421800353747016,0.09784629572167489,3.596701548278342,3.2227789252320074e-4,1.1736853940473921,1.7223663650989538
T4_cluster_x_period_plus_ER_x_period,2,periodlate_gt10y,NA,0,NA,NA,NA,NA
T4_cluster_x_period_plus_ER_x_period,2,erPositive,0.5829977835968306,0.11020226579828554,-4.896196012405108,9.770960736130962e-7,0.4697454313979593,0.7235544892205065
T4_cluster_x_period_plus_ER_x_period,2,age,1.04093515786514,0.0027466100095113895,14.606915157199488,2.537500815793449e-48,1.0353465925411311,1.0465538889931472
T4_cluster_x_period_plus_ER_x_period,2,clSNF_C2:periodlate_gt10y,0.5650005920642615,0.18238219018350246,-3.130396116860216,0.0017457073074505739,0.39518904876150346,0.8077796437765629
T4_cluster_x_period_plus_ER_x_period,2,periodlate_gt10y:erPositive,2.2707372403648884,0.228716027156782,3.5856890505278693,3.3618935290707924e-4,1.4503854930026718,3.555087691966077
T1_cluster_x_period,3,clSNF_C2,0.7698782166048652,0.09627439021669873,-2.7164330649909445,0.0065989537242749155,0.6374896264260803,0.92976017778607
T1_cluster_x_period,3,clSNF_C3,1.8158126085295936,0.08529855942864091,6.993471984929568,2.6816543124521985e-12,1.5362601383734664,2.1462350984293392
T1_cluster_x_period,3,periodlate_gt10y,NA,0,NA,NA,NA,NA
T1_cluster_x_period,3,age,1.0378057743158111,0.0027217380077357686,13.63417486447518,2.5081161427322732e-42,1.032284330809179,1.043356750711287
T1_cluster_x_period,3,clSNF_C2:periodlate_gt10y,1.1918747636593092,0.15033406526545043,1.1675830010277817,0.24297501033771207,0.8876996239858302,1.6002771814518755
T1_cluster_x_period,3,clSNF_C3:periodlate_gt10y,0.32837054922084,0.1728894505983303,-6.4411829707761665,1.1854585471589123e-10,0.2339916889646071,0.4608164421254541
T2_ER_x_period,3,erPositive,0.45062401643495464,0.08510899634363008,-9.365895356062229,7.540819147505979e-21,0.38139010836977494,0.5324259851833716
T2_ER_x_period,3,periodlate_gt10y,NA,0,NA,NA,NA,NA
T2_ER_x_period,3,age,1.0406084932953827,0.002743392239594343,14.509639266173089,1.0527272691115513e-47,1.0350282093712415,1.0462188629393063
T2_ER_x_period,3,erPositive:periodlate_gt10y,3.4770587161975297,0.1833107718086036,6.7982188259652965,1.0592049005688982e-11,2.4276027048548174,4.98019601465564
T3_cluster_x_period_plus_ER,3,clSNF_C2,0.7660215405840065,0.0962711581410807,-2.7686899577905972,0.00562821656899428,0.6343001641985517,0.9250967188068001
T3_cluster_x_period_plus_ER,3,clSNF_C3,1.47435195330618,0.10789071298515016,3.59825724397965,3.2035667527287586e-4,1.1933406318959299,1.8215366376691977
T3_cluster_x_period_plus_ER,3,periodlate_gt10y,NA,0,NA,NA,NA,NA
T3_cluster_x_period_plus_ER,3,erPositive,0.7033959117588208,0.104901667393749,-3.353954039193693,7.966559412187095e-4,0.5726738846158093,0.8639573446080001
T3_cluster_x_period_plus_ER,3,age,1.039875143518851,0.0027840555132869114,14.044494246174589,8.326065424735792e-45,1.034216363366371,1.0455648860443392
T3_cluster_x_period_plus_ER,3,clSNF_C2:periodlate_gt10y,1.1980653392230436,0.15036163533981997,1.2018227791321017,0.22943219791839908,0.8922621035855973,1.6086759162801632
T3_cluster_x_period_plus_ER,3,clSNF_C3:periodlate_gt10y,0.32395190470011737,0.17284082294382763,-6.521377283990157,6.9664705459931e-11,0.23086503471330297,0.4545722425622331
T4_cluster_x_period_plus_ER_x_period,3,clSNF_C2,0.7601971773785088,0.0963360221604481,-2.8460531095604047,0.004426481160585105,0.6293973093654867,0.9181795662216115
T4_cluster_x_period_plus_ER_x_period,3,clSNF_C3,1.320900670023024,0.11765267688588962,2.365554588824493,0.01800308900186721,1.0488756913197541,1.6634750852809788
T4_cluster_x_period_plus_ER_x_period,3,periodlate_gt10y,NA,0,NA,NA,NA,NA
T4_cluster_x_period_plus_ER_x_period,3,erPositive,0.5986475641257968,0.12107936945528236,-4.237569373554781,2.259526147384345e-5,0.47218074556613615,0.7589867003239621
T4_cluster_x_period_plus_ER_x_period,3,age,1.039847716160053,0.0027843952032195005,14.033308065419437,9.749554616919442e-45,1.0341883967192322,1.0455380047131115
T4_cluster_x_period_plus_ER_x_period,3,clSNF_C2:periodlate_gt10y,1.220992467669153,0.15049327289674796,1.3267305726110052,0.18459782388336557,0.9091025556523734,1.6398838578063297
T4_cluster_x_period_plus_ER_x_period,3,clSNF_C3:periodlate_gt10y,0.5051990848939387,0.23172407886532548,-2.9466195452139905,0.0032126820998002784,0.320788404631067,0.7956213868490795
T4_cluster_x_period_plus_ER_x_period,3,periodlate_gt10y:erPositive,1.9727989408037725,0.24921223818339147,2.7264042949120593,0.006402851791813665,1.2104670842722443,3.215234607702193
