k,eigenvalue_k,eigengap_after_k,network_silhouette,consensus_PAC
2,0.09268702043689651,0.0256975926695365,6.369677301721361e-4,0.07307104755703589
3,0.11838461310643301,0.0732645190034074,8.108686462372285e-4,0.08809863681517284
4,0.19164913210984041,0.008061429555336619,8.950154773467105e-4,0.3168866294357767
5,0.19971056166517703,0.022225383430417356,9.691642486169658e-4,0.16508310168373777
6,0.2219359450955944,0.028668688401275788,0.0010423423387161343,0.12475854181796933
