full_barcode,PC1,PC2,PC3,PC4,PC5,PAM50
TCGA-3C-AAAU-01A-11R-A41B-07,16.568251507119125,-10.093242938008954,6.486712355490032,-14.01665846120764,0.655668882655641,LumA
TCGA-3C-AALI-01A-11R-A41B-07,-6.509018592488328,0.38983922327916415,20.125043861369633,7.6690953781444895,3.9623690214665555,Her2
TCGA-3C-AALJ-01A-31R-A41B-07,7.802516923888244,-3.0779834105753903,14.839308831593735,-8.488419533946379,6.599467752535734,LumB
TCGA-3C-AALK-01A-11R-A41B-07,4.286629803826866,15.034507245730106,-1.622662258004499,5.343518234513549,5.9141757274683044,LumA
TCGA-4H-AAAK-01A-12R-A41B-07,4.264265104382859,8.203576244044879,-7.126992746690168,1.797435694748927,7.38438579138708,LumA
TCGA-5L-AAT0-01A-12R-A41B-07,5.199589638221683,15.165813478845006,-4.533098007987596,-2.0116898283117184,-0.7276065109334958,LumA
TCGA-5L-AAT1-01A-12R-A41B-07,0.1658200082013379,13.792046249323798,6.473968958882355,5.228487165705712,-2.680155430750185,LumA
TCGA-5T-A9QA-01A-11R-A41B-07,16.392267285057883,-29.431730717414766,5.699358737757386,-2.9114205438653458,-2.8445573729883757,LumB
TCGA-A1-A0SB-01A-11R-A144-07,-20.46451488999136,-11.335939135557531,-31.15751600125308,-1.2166766458931553,5.330561754921616,Normal
TCGA-A1-A0SD-01A-11R-A115-07,4.58462632647921,12.176989885294656,-4.124119647087694,-3.4646568545447787,8.044233119392203,LumA
TCGA-A1-A0SE-01A-11R-A084-07,6.149055226584122,12.047148269059651,-11.968922902131737,-3.1537946217331227,1.7921678609466882,LumA
TCGA-A1-A0SF-01A-11R-A144-07,4.886463254552219,20.3185931313971,-2.14995569026505,-2.000013227821996,0.08766425706943201,LumA
TCGA-A1-A0SG-01A-11R-A144-07,11.203708441414076,4.567435929531812,0.08261745990420723,1.3367325122536493,4.0941282817428855,LumA
TCGA-A1-A0SH-01A-11R-A084-07,2.3627865059837503,6.635384893240407,-8.071380962370506,8.816481889217858,11.328040464638805,LumA
TCGA-A1-A0SI-01A-11R-A144-07,-3.4462713363702493,12.064551342460533,5.492574521405298,13.376901359442538,-1.4009368175107038,LumB
TCGA-A1-A0SJ-01A-11R-A084-07,1.1020007150916622,10.650043242196583,0.8431981419891472,-11.191028250336801,10.607030015175912,LumA
TCGA-A1-A0SK-01A-12R-A084-07,-18.84536784340854,-21.20185830886768,-10.256315905356528,-9.746746115727857,17.04401813166764,Basal
TCGA-A1-A0SM-01A-11R-A084-07,10.921931116487517,-6.112601412432902,-7.3014830489240055,14.136261297340834,6.326585485678387,NA
TCGA-A1-A0SN-01A-11R-A144-07,5.333427845478795,-1.1767771872963548,3.852803361169246,5.243684019746151,6.289079892600579,LumB
TCGA-A1-A0SO-01A-22R-A084-07,-26.01003574108444,-21.739687615480168,-2.154390599799647,-7.236017976470423,1.5152859096552085,Basal
TCGA-A1-A0SP-01A-11R-A084-07,-34.766298334816526,-2.8485146126644287,-3.4729381900364578,-7.821932285912208,4.918772704080009,Basal
TCGA-A1-A0SQ-01A-21R-A144-07,15.058806563641566,-0.6571652328575247,2.3151749664664165,-10.804807939997124,-1.00915494896376,LumA
TCGA-A2-A04N-01A-11R-A115-07,12.836361104171795,6.203408721478744,-2.5474798320274084,3.938018336478146,4.2045162726116345,LumA
TCGA-A2-A04P-01A-31R-A034-07,-34.838461201092485,-1.3672152319956377,-1.2623129897052743,1.5343314371307573,-8.000836294229018,Basal
TCGA-A2-A04Q-01A-21R-A034-07,-33.910956266371535,11.607324053061388,9.219072308278456,-4.743225729778371,-7.712018218183909,Basal
TCGA-A2-A04R-01A-41R-A109-07,16.792660728815324,-8.001997155905554,-0.6099055208047132,-10.374936068202027,5.872548479422305,LumB
TCGA-A2-A04T-01A-21R-A034-07,-39.40303277474781,-9.809058078773955,-5.2894613192224,-9.660933970738135,1.3355180043837545,Basal
TCGA-A2-A04U-01A-11R-A115-07,-31.047877387554976,-21.97890267899953,-10.259734521155083,-2.1418422941472786,0.7973067869626129,Basal
TCGA-A2-A04V-01A-21R-A034-07,21.244238889167136,-6.434648547517026,-2.783097378652375,-6.548947140937341,3.8545371262297268,LumA
TCGA-A2-A04W-01A-31R-A115-07,-8.627025439601548,-1.3218165473198644,2.860006383316144,23.945483323920524,5.00058792603773,Her2
TCGA-A2-A04X-01A-21R-A034-07,-2.2443657958735446,3.9989050718771737,23.424601619211558,3.5951767640312506,-5.781077086647102,Her2
TCGA-A2-A04Y-01A-21R-A034-07,3.4558576551260476,3.5498425138134504,7.146271634004201,-1.0291950152922733,0.1690416444337087,LumB
TCGA-A2-A0CK-01A-11R-A22K-07,7.903840957935915,11.363088908286711,-9.75836335296865,-9.465389527527943,-3.093317052405801,LumA
TCGA-A2-A0CL-01A-11R-A115-07,-11.648535242216726,14.619248180114841,16.85358424755308,-10.299412283194377,1.784163917460004,Normal
TCGA-A2-A0CM-01A-31R-A034-07,-36.98635234707605,-10.06827617134446,7.6828264370678445,-3.7175392282903097,-4.2940850095064675,Basal
TCGA-A2-A0CO-01A-13R-A22K-07,1.3878966568481046,21.365098187141083,-9.245837988319831,-3.8026990592943015,-6.353841391319933,LumA
TCGA-A2-A0CP-01A-11R-A034-07,2.3945396854913024,13.720648340759828,-9.803262384373562,0.38146666617545605,5.267035686645361,LumA
TCGA-A2-A0CQ-01A-21R-A034-07,23.685595274156974,-7.901003911396323,-7.535115567282425,6.196993938255667,-16.3723642200463,LumA
TCGA-A2-A0CR-01A-11R-A22K-07,-7.6624066708653356,26.78486472881839,1.31511151322193,-4.653998675283517,-10.437885922009288,LumA
TCGA-A2-A0CS-01A-11R-A115-07,22.53206465428002,-7.531322542881601,-8.585470469141852,11.994547998282748,-4.892856708934097,LumA
TCGA-A2-A0CT-01A-31R-A056-07,8.660949554851236,-8.456132747275511,0.6582563259685931,-5.640829209289226,15.925991585419284,LumA
