k,comparison,rmst_diff,rmst_diff_lower,rmst_diff_upper,rmst_diff_p,rmst_diff_FDR
2,SNF_C2_minus_SNF_C1,-0.1768874015049402,-0.36105840181842475,0.007283598808544345,0.059774768207764076,0.059774768207764076
3,SNF_C2_minus_SNF_C1,0.13224738564258853,-0.02833752497276007,0.29283229625793716,0.10650572566829856,0.15975858850244784
3,SNF_C3_minus_SNF_C1,-0.09175435932435327,-0.2994508176670744,0.11594209901836783,0.38656909502706066,0.38656909502706066
3,SNF_C3_minus_SNF_C2,-0.2240017449669418,-0.42142141582651277,-0.026582074107370846,0.026157304799472498,0.0784719143984175
