TF,SNF_cluster,mean_in,mean_rest,cohens_d,activity_difference,kw_stat,kw_p,FDR,k
TFAP2C,SNF_C1,0.509597226222464,-1.110811893204022,1.962134927043294,1.620409119426486,414.0036918939686,4.927603614860579e-92,1.2959597507083322e-89,2
FOXA1,SNF_C1,0.563382909355502,-1.2978639575737612,1.866715443348008,1.861246866929263,404.4350369232088,5.9634281571733e-90,5.22793868445526e-88,2
E2F5,SNF_C1,-0.6136807474970329,1.3261884732527436,-1.825983427936588,-1.9398692207497765,405.39914576248657,3.6781370848172735e-90,4.8367502665347145e-88,2
ATF4,SNF_C1,-0.6075711960856565,1.422606641366214,-1.5777407087252866,-2.0301778374518706,335.9726063943317,4.808176984570719e-75,2.1075842449034987e-73,2
E2F2,SNF_C1,-1.0348774479850262,2.3426270931510262,-1.5550558926477298,-3.3775045411360525,378.4480835977474,2.7091910143003497e-84,1.78129309190248e-82,2
E2F3,SNF_C1,-0.8420887977346454,1.7710759617695984,-1.5386379774603083,-2.6131647595042438,356.60645698458075,1.543575187448514e-79,8.119205485979185e-78,2
RFX1,SNF_C1,0.5857338138170762,-1.3030397831052338,1.4619589941601536,1.88877359692231,305.30649933837003,2.299836901063899e-68,8.640815785425792e-67,2
PGR,SNF_C1,0.4680764211254911,-1.1197064037285418,1.3685946155092223,1.5877828248540329,301.55844130466767,1.5074481503386744e-67,4.955735794238392e-66,2
RELA,SNF_C1,-0.8000062981927467,2.204730098417544,-1.361938598850454,-3.0047363966102907,277.0203717932295,3.349044768287524e-62,8.807987740596188e-61,2
MYCN,SNF_C1,-0.7005718661627178,1.4206917389611269,-1.3317522221847855,-2.1212636051238447,288.8963881181735,8.65017529889399e-65,2.527773448454577e-63,2
TFAP2C,SNF_C2,-1.110811893204022,0.509597226222464,-1.962134927043294,-1.620409119426486,414.0036918939686,4.927603614860579e-92,1.2959597507083322e-89,2
FOXA1,SNF_C2,-1.2978639575737612,0.563382909355502,-1.866715443348008,-1.861246866929263,404.4350369232088,5.9634281571733e-90,5.22793868445526e-88,2
E2F5,SNF_C2,1.3261884732527436,-0.6136807474970329,1.825983427936588,1.9398692207497765,405.39914576248657,3.6781370848172735e-90,4.8367502665347145e-88,2
ATF4,SNF_C2,1.422606641366214,-0.6075711960856565,1.5777407087252866,2.0301778374518706,335.9726063943317,4.808176984570719e-75,2.1075842449034987e-73,2
E2F2,SNF_C2,2.3426270931510262,-1.0348774479850262,1.5550558926477298,3.3775045411360525,378.4480835977474,2.7091910143003497e-84,1.78129309190248e-82,2
E2F3,SNF_C2,1.7710759617695984,-0.8420887977346454,1.5386379774603083,2.6131647595042438,356.60645698458075,1.543575187448514e-79,8.119205485979185e-78,2
RFX1,SNF_C2,-1.3030397831052338,0.5857338138170762,-1.4619589941601536,-1.88877359692231,305.30649933837003,2.299836901063899e-68,8.640815785425792e-67,2
